                                                  NAME    neg    neu    pos  \
0    15-mar-2021-sartaj-singh-vs-state-of-haryana-l...  0.074  0.872  0.054   
1    85-sunil-kumar-v-state-of-bihar-25-jan-2022-41...  0.118  0.807  0.074   
2    116-state-of-sikkim-v-jasbir-singh-1-feb-2022-...  0.090  0.876  0.034   
3     137-rajesh-yadav-v-state-of-up-4-feb-2022-415742  0.080  0.848  0.071   
4    138-serious-fraud-investigation-office-v-rahul...  0.077  0.890  0.033   
5    144-pappu-v-state-of-uttar-pradesh-9-feb-2022-...  0.131  0.839  0.031   
6    146-sk-supiyan-suffiyan-supisan-v-central-bure...  0.054  0.914  0.032   
7    181-babu-venkatesh-v-state-of-karnataka-18-feb...  0.103  0.855  0.042   
8    200-rajesh-seth-v-state-of-chhattisgarh-21-feb...  0.040  0.838  0.122   
9    206-state-of-odisha-v-panda-infraproject-24-fe...  0.062  0.897  0.041   
10   222-jameel-ahmad-v-mohammed-umair-mohammad-har...  0.121  0.783  0.096   
11   310-union-of-india-v-lt-gen-sk-sahni-23-mar-20...  0.062  0.870  0.068   
12   314-s-senthil-kumar-v-state-of-tamil-nadu-24-m...  0.101  0.843  0.057   
13   44369_2018_4_1501_20493_Judgement_13-Feb-2020.pdf  0.085  0.849  0.065   
14   29222201437150427802judgement28-apr-2021-39277...  0.121  0.844  0.035   
15   achhar-singh-vs-state-of-himachal-pradesh-ll-2...  0.140  0.816  0.044   
16   ajay-kumar-bittu-vs-state-of-uttarakhand-ll-20...  0.055  0.914  0.031   
17   Ajitsingh_Harnamsingh_Gujral_vs_State_Of_Mahar...  0.148  0.818  0.033   
18   Ajitsingh_Harnamsingh_Gujral_vs_State_Of_Mahar...  0.148  0.818  0.033   
19        Akhtar_vs_State_Of_U_P_on_28_August_2014.PDF  0.092  0.884  0.025   
20   Akula_Ravinder_And_Others_vs_The_State_Of_Andh...  0.212  0.746  0.041   
21                                  Allarakha crpc.pdf  0.132  0.795  0.073   
22   aman-preet-singh-vs-cbi-ll-2021-sc-416-399863.pdf  0.090  0.865  0.045   
23   Amar_Singh_vs_State_Of_Rajasthan_on_3_August_2...  0.172  0.799  0.030   
24   Amish_Devgan_vs_Union_Of_India_on_7_December_2...  0.081  0.858  0.061   
25   Amitava_Banerjee_Amit_Bappa_vs_State_Of_West_B...  0.106  0.858  0.036   
26                                 Anil Kumar crpc.pdf  0.062  0.881  0.057   
27   Anil_Raju_Namdev_Patil_vs_Administration_Of_Da...  0.099  0.850  0.051   
28   anu-kumar-v-state-ut-administration-anr-406507...  0.127  0.828  0.046   
29   Anwar_Ali_vs_The_State_Of_Himachal_Pradesh_on_...  0.084  0.867  0.049   
30   a-p-mahesh-cooperative-urban-bank-shareholders...  0.111  0.834  0.055   
31                                Arnesh Kumar ipc.pdf  0.158  0.784  0.058   
32   Arun_Bhakta_Thulu_vs_State_Of_West_Bengal_on_5...  0.107  0.840  0.053   
33   Arun_Bhanudas_Pawar_vs_State_Of_Maharashtra_on...  0.105  0.866  0.029   
